Serial No.,Category Name,"Item List ",Classified,"E-commerce "
1,PC & Laptop,"Laptop ",,
2,,"Used laptop ",,
3,,Desktop PC,,
4,,"Mini PC ",,
5,,"Graphics Tablet ",,
6,,Signature Pad,,
7,,"Stylus Pen ",,
8,,"Tablet ",,
9,,Server,,
10,,"Server rack ",,
11,,"Computer Repair ",,
12,PC Parts,Processor,,
13,,Motherboard,,
14,,RAM,,
15,,Hard Disk,,
16,,SSD,,
17,,Graphics Card,,
18,,Mouse,,
19,,Keyboard,,
20,,DVD Writer,,
21,,Computer Casing,,
22,,CPU Cooler,,
23,,Internet Modem,,
24,,Webcam,,
25,,TV Card,,
26,,Pendrive,,
27,,PC Cable,,
28,,Power Supply,,
29,,USB Hub,,
30,,Card Reader,,
31,,Blank Disk,,
32,,Sound Card,,
33,,Thermal Paste,,
34,,Mouse Pad,,
35,Laptop Accessories,Laptop Battery,,
36,,Laptop Charger,,
37,,Laptop Bag,,
38,,Laptop Cooler,,
39,,Laptop Display,,
40,,Laptop Keyboard,,
41,,Laptop Table,,
42,Networking Devices,Router,,
43,,Wireless Access Point,,
44,,Radio Link,,
45,,WiFi Repeater,,
46,,Network Switch,,
47,,WiFi Adapter,,
48,,Network Storage,,
49,,Patch Panel,,
50,,Network Cable,,
51,,Crimping Tool,,
52,,HDMI Extender,,
53,,Cable Tester,,
54,,RJ45 Connector,,
55,,Splicer Machine,,
56,,Wireless Antenna,,
57,,Media Converter,,
58,,KVM Switch,,
59,,Face Plate,,
60,,Networking Accessories,,
61,,Network Support,,
62,Projection,Projector,,
63,,Digital Whiteboard,,
64,,Projector Screen,,
65,,Projector Mount,,
66,,Projector Lamp,,
67,,Wireless Presenter,,
68,,Projector Repair,,
69,,Projector Rental,,
70,Monitor,,,
71,Print & Scan,Photocopier,,
72,,Printer,,
73,,Scanner,,
74,,Banner Printer,,
75,,POS Printer,,
76,,POS Machine,,
77,,Barcode Printer,,
78,,Barcode Scanner,,
79,,ID Card Printer,,
80,,Digital Duplicator,,
81,,Cartridge,,
82,,Thermal Paper Roll,,
83,,PVC Card,,
84,,Printer Paper,,
85,,Printer Parts,,
86,,Copier Repair,,
87,,Printer Repair,,
88,,Copier Parts,,
89,,Printing Accessories,,
90,Office Electronics,Paper Shredder,,
91,,Money Counting Machine,,
92,,Cash Register,,
93,,Cash Drawer,,
94,,Fake Note Detector,,
95,,Laminating Machine,,
96,,Spiral Binding Machine,,
97,,Paper Cutting Machine,,
98,Software,Antivirus,,
99,,App Development,,
100,,Business Software,,
101,,POS Software,,
102,,Inventory Software,,
103,,Accounting Software,,
104,,e-Commerce Website,,
105,,Microsoft Office,,
106,,Educational Software,,
107,,Microsoft Windows,,
108,Web Service,Web Hosting,,
109,,Domain Name,,
110,Digital Marketing,Digital Display,,
111,,Digital Marketing Service,,
112,,LED Sign Board,,
113,Cooling & Heating,Air Conditioner,,
114,,AC Ton Calculator,,
115,,AC Bill Calculator,,
116,,AC Accessories,,
117,,Air Curtain,,
118,,Air Cooler,,
119,,Room Heater,,
120,,Fan,,
121,,Air Purifier,,
122,,Humidifier,,
123,,Dehumidifier,,
124,,Water Heater & Geyser,,
125,TV & Video,Television,,
126,,TV Size Calculator,,
127,,Android TV Box,,
128,,Air Mouse,,
129,,Wireless Display Adapter,,
130,,3D Glass,,
131,,Satellite Dish,,
132,,TV Accessories,,
133,,TV Remote,,
134,,TV Bracket,,
135,,Game Console,,
136,,Game Controller,,
137,,Game Accessories,,
138,,TV Repair Service,,
139,Home Appliance,Water Filter,,
140,,Filter Accessories,,
